BENCHMARK,CLASS,ARCH,INIT_TIME,RUN_TIME,OPS_MOPS_S,MEM_BW_RD_GB_S,MEM_BW_WR_GB_S,
bt,C,cpu,0.0,17.03,171556.73,10.04,2.76,
cg,D,cpu,8.27,192.82,18970.80,89.81,0.44,
ep,D,cpu,0.0,21.93,6283.28,0.12,0.04,
ft,C,cpu,0.0,3.89,143978.13,10.98,9.48,
lu,D,cpu,0.0,208.63,194101,37.43,13.87,
mg,D,cpu,3.21,47.51,69482.11,99.29,24.51,
sp,D,cpu,0.0,330.85,90228.24,41.77,16.68,
bt,C,gpu,NaN,NaN,488506.53,219.255,160.165,
cg,D,gpu,NaN,NaN,139793.38,442.40,9.33,
ep,D,gpu,NaN,NaN,74011.64,299.33,301.67,
ft,C,gpu,NaN,NaN,145668.93,307.89,312.56,
lu,D,gpu,NaN,NaN,543737.12,293.12,58.31,
mg,D,gpu,NaN,NaN,451908.92,466.5,146.17,
sp,D,gpu,NaN,NaN,454711.27,376.31,181.94,
